"_id",DMA,COVID19,Coronavirus
5ec1bfc1dcf71743db47d520,Idaho Falls-Pocatello ID,64,73
5ec1bfc1dcf71743db47d521,Indianapolis IN,60,63
5ec1bfc1dcf71743db47d522,Jackson MS,38,55
5ec1bfc1dcf71743db47d523,Jackson TN,45,56
5ec1bfc1dcf71743db47d524,Jacksonville FL,54,60
5ec1bfc1dcf71743db47d525,Johnstown-Altoona PA,62,77
5ec1bfc1dcf71743db47d526,Jonesboro AR,69,58
5ec1bfc1dcf71743db47d527,Joplin MO-Pittsburg KS,71,64
5ec1bfc1dcf71743db47d528,Juneau AK,100,79
5ec1bfc1dcf71743db47d529,Kansas City MO,53,62
5ec1bfc1dcf71743db47d52a,Knoxville TN,62,65
5ec1bfc1dcf71743db47d52b,La Crosse-Eau Claire WI,71,69
5ec1bfc1dcf71743db47d52c,Lafayette IN,65,68
5ec1bfc1dcf71743db47d52d,Lafayette LA,51,54
5ec1bfc1dcf71743db47d52e,Lake Charles LA,58,60
5ec1bfc1dcf71743db47d52f,Lansing MI,65,75
5ec1bfc1dcf71743db47d530,Laredo TX,37,50
5ec1bfc1dcf71743db47d531,Las Vegas NV,53,70
5ec1bfc1dcf71743db47d532,Lexington KY,77,59
5ec1bfc1dcf71743db47d533,Lima OH,64,69
5ec1bfc1dcf71743db47d534,Lincoln & Hastings-Kearney NE,67,60
5ec1bfc1dcf71743db47d535,Little Rock-Pine Bluff AR,59,61
5ec1bfc1dcf71743db47d536,Los Angeles CA,62,73
5ec1bfc1dcf71743db47d537,Louisville KY,57,60
5ec1bfc1dcf71743db47d538,Lubbock TX,47,53
5ec1bfc1dcf71743db47d539,Macon GA,52,54
5ec1bfc1dcf71743db47d53a,Madison WI,65,69
5ec1bfc1dcf71743db47d53b,Mankato MN,62,69
5ec1bfc1dcf71743db47d53c,Marquette MI,99,79
5ec1bfc1dcf71743db47d53d,Medford-Klamath Falls OR,75,69
5ec1bfc1dcf71743db47d53e,Memphis TN,45,55
5ec1bfc1dcf71743db47d53f,Meridian MS,35,56
5ec1bfc1dcf71743db47d540,Miami-Ft. Lauderdale FL,54,76
5ec1bfc1dcf71743db47d541,Milwaukee WI,60,67
5ec1bfc1dcf71743db47d542,Minneapolis-St. Paul MN,81,73
5ec1bfc1dcf71743db47d543,Minot-Bismarck-Dickinson(Williston) ND,56,71
5ec1bfc1dcf71743db47d544,Missoula MT,82,81
5ec1bfc1dcf71743db47d545,Mobile AL-Pensacola (Ft. Walton Beach) FL,51,58
5ec1bfc1dcf71743db47d546,Monroe LA-El Dorado AR,59,59
5ec1bfc1dcf71743db47d547,Monterey-Salinas CA,65,67
5ec1bfc1dcf71743db47d548,Montgomery (Selma) AL,30,50
5ec1bfc1dcf71743db47d549,Nashville TN,61,63
5ec1bfc1dcf71743db47d54a,New Orleans LA,54,60
5ec1bfc1dcf71743db47d54b,New York NY,56,79
5ec1bfc1dcf71743db47d54c,Norfolk-Portsmouth-Newport News VA,49,62
5ec1bfc1dcf71743db47d54d,North Platte NE,67,60
5ec1bfc1dcf71743db47d54e,Odessa-Midland TX,43,58
5ec1bfc1dcf71743db47d54f,Oklahoma City OK,56,59
5ec1bfc1dcf71743db47d550,Omaha NE,64,60
5ec1bfc1dcf71743db47d551,Orlando-Daytona Beach-Melbourne FL,57,72
5ec1bfc1dcf71743db47d552,Ottumwa IA-Kirksville MO,54,67
5ec1bfc1dcf71743db47d553,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,68,58
5ec1bfc1dcf71743db47d554,Palm Springs CA,61,69
5ec1bfc1dcf71743db47d555,Panama City FL,62,68
5ec1bfc1dcf71743db47d556,Parkersburg WV,86,79
5ec1bfc1dcf71743db47d557,Peoria-Bloomington IL,61,60
5ec1bfc1dcf71743db47d558,Philadelphia PA,63,72
5ec1bfc1dcf71743db47d559,Phoenix AZ,61,73
5ec1bfc1dcf71743db47d55a,Pittsburgh PA,59,73
5ec1bfc1dcf71743db47d55b,Portland OR,67,73
5ec1bfc1dcf71743db47d55c,Portland-Auburn ME,75,75
5ec1bfc1dcf71743db47d55d,Presque Isle ME,63,73
5ec1bfc1dcf71743db47d55e,Providence RI-New Bedford MA,59,70
5ec1bfc1dcf71743db47d55f,Quincy IL-Hannibal MO-Keokuk IA,56,61
5ec1bfc1dcf71743db47d560,Raleigh-Durham (Fayetteville) NC,51,62
5ec1bfc1dcf71743db47d561,Rapid City SD,63,73
5ec1bfc1dcf71743db47d562,Reno NV,72,69
5ec1bfc1dcf71743db47d563,Richmond-Petersburg VA,57,65
5ec1bfc1dcf71743db47d564,Roanoke-Lynchburg VA,57,64
5ec1bfc1dcf71743db47d565,Rochester MN-Mason City IA-Austin MN,84,68
5ec1bfc1dcf71743db47d566,Rochester NY,60,66
5ec1bfc1dcf71743db47d567,Rockford IL,62,60
5ec1bfc1dcf71743db47d568,Sacramento-Stockton-Modesto CA,64,66
5ec1bfc1dcf71743db47d569,Salisbury MD,61,69
5ec1bfc1dcf71743db47d56a,Salt Lake City UT,63,70
5ec1bfc1dcf71743db47d56b,San Angelo TX,53,55
5ec1bfc1dcf71743db47d56c,San Antonio TX,53,59
5ec1bfc1dcf71743db47d56d,San Diego CA,71,74
5ec1bfc1dcf71743db47d56e,San Francisco-Oakland-San Jose CA,65,78
5ec1bfc1dcf71743db47d56f,Santa Barbara-Santa Maria-San Luis Obispo CA,70,69
5ec1bfc1dcf71743db47d570,Savannah GA,53,62
5ec1bfc1dcf71743db47d571,Seattle-Tacoma WA,74,78
5ec1bfc1dcf71743db47d572,Sherman TX-Ada OK,58,58
5ec1bfc1dcf71743db47d573,Shreveport LA,53,55
5ec1bfc1dcf71743db47d574,Sioux City IA,69,63
5ec1bfc1dcf71743db47d575,Sioux Falls(Mitchell) SD,73,66
5ec1bfc1dcf71743db47d576,South Bend-Elkhart IN,52,66
5ec1bfc1dcf71743db47d577,Spokane WA,67,69
5ec1bfc1dcf71743db47d578,Springfield MO,64,65
5ec1bfc1dcf71743db47d579,Springfield-Holyoke MA,58,61
5ec1bfc1dcf71743db47d57a,St. Joseph MO,45,57
5ec1bfc1dcf71743db47d57b,St. Louis MO,57,62
5ec1bfc1dcf71743db47d57c,Syracuse NY,58,69
5ec1bfc1dcf71743db47d57d,Tallahassee FL-Thomasville GA,50,63
5ec1bfc1dcf71743db47d57e,Tampa-St. Petersburg (Sarasota) FL,58,70
