"_id",B,L_corona,b,convergent_point,country,county,county_FIPS,divergent_point,k,k_corona,l_corona,lat,lon,metro_area,modified_at,modified_at_corona,name,state,state_FIPS,t0,t0_corona,google_trend,distance,stretch_factor,average_procrustes_distance,first_peak_normal,first_peak_actual,second_peak_normal,second_peak_actual,first_peak_diff,second_peak_diff,google_trend_COVID19,google_trend_Coronavirus
5e88da2b7e859234c8cba942,-0.8654713512040252,127.84391888181116,-0.02314287945605551,37.49100395786595,US,Alameda,06001,16.67834796317348,0.3520513332910425,0.04629239163504061,-90.22552235741328,37.77,-122.27,SF Bay Area,20200517,20200521,AC Transit,California,06,27.084675960519714,41,33,0.5289515020635609,3.044767153779892,0.642796242946486,7.975,8.125,16.925,14.85,0.15,-2.075,65,78
5e88da2b7e859234c8cba943,-0.739277931492311,99.95676701915579,0.014403030043032198,38.1094075826425,US,Los Angeles,06037,18.388780044203642,0.3715461527772117,0.058253938519489706,-693.6242804686166,33.97,-118.24,Los Angeles,20200517,20200521,ART,California,06,28.24909381342307,4,38,0.22029908607347226,2.18614779716898,0.5469293247547136,7.0,8.575,15.525,16.275,1.575,0.75,62,73
5e88da2b7e859234c8cba944,-0.8547825646021066,,-0.01589853720960439,37.64170650694638,US,San Francisco,,15.24707264594633,0.3271820980748151,,,,,SF Bay Area,20200517,,BART,California,,26.444389576446355,,,0.5112951305522816,2.9673903262590042,0.5941029679599412,8.0,7.794871794871795,17.0,15.55,-0.20512820512820512,-1.45,,
5e88da2b7e859234c8cba945,-0.7807912265818416,99.95676701915579,0.0365690321237103,39.06145563269507,US,Los Angeles,06037,17.352296646727396,0.3375129961043347,0.058253938519489706,-693.6242804686166,33.97,-118.24,Los Angeles,20200517,20200521,Beach Cities Transit,California,06,28.206876139711234,4,38,0.41590286584922714,2.2258879342782394,0.5966065601163842,7.1,7.95,16.475,15.65,0.85,-0.825,62,73
5e88da2b7e859234c8cba946,-0.6942642053198219,4302.6737074508665,-0.0017590964524599856,40.40446395981085,US,Westchester,36119,17.73143418031492,0.32316471876579483,0.036733737441092484,-2892.993981673465,41.29,-73.76,NYC,20200517,20200521,Bee-Line,New York,36,29.067949070062884,41,36,0.29099573495679093,1.9285247381620507,0.453849443606738,7.0,6.875,15.625,15.75,-0.125,0.125,56,79
5e88da2b7e859234c8cba947,-0.7848530573431487,99.95676701915579,0.01497261104369744,36.20068654266507,US,Los Angeles,06037,18.65462124683344,0.4175935270228351,0.058253938519489706,-693.6242804686166,33.97,-118.24,Los Angeles,20200517,20200521,Big Blue Bus,California,06,27.427653894749252,4,38,0.2547933260393038,2.7090044412252445,0.44132005698391547,7.0,7.025,16.6,15.825,0.025,-0.775,62,73
5e88da2b7e859234c8cba948,-0.8292044576770141,75.60747795483948,0.03568435227418701,44.09014923781367,US,Suffolk,25025,19.33335301842964,0.29596411536167655,0.05911790814061212,-424.1086449330894,42.35,-71.06,Boston,20200517,20200521,Brockton Area Transit,Massachusetts,25,31.711751128121655,10,52,0.5156582409567252,1.3014554136049319,0.5512068210615775,7.0,8.6,15.125,14.95,1.6,-0.175,71,74
5e88da2b7e859234c8cba949,-0.5638163518301325,1527.1825607108397,0.005771780267461495,40.65858794222748,US,Miami-Dade,12086,19.645129869332926,0.34868717308887937,0.04626517193649244,-773.880304510249,25.86,-80.29,Miami,20200517,20200521,Broward County Transit,Florida,12,30.151858905780202,50,37,0.09922020652050247,1.396343490679734,0.4196258070653896,7.225,8.2,16.25,15.925,0.975,-0.325,54,76
5e88da2b7e859234c8cba94a,-0.7870357901376903,,-0.012325929564137411,36.57196740896981,US,San Francisco,,15.644711108241651,0.35012345560102626,,,,,SF Bay Area,20200517,,Caltrain,California,,26.10833925860573,,,0.36266353309552024,2.819426532367687,0.5669098895836956,7.975,8.675,16.95,15.9,0.7,-1.05,,
5e88da2b7e859234c8cba94b,-0.754671522776672,3.9374142902919718,-0.004765863100983873,38.107273861103614,US,Austin,48015,19.882069687482563,0.40203243938767413,0.04036416326377112,-1.2241657854124373,29.94,-96.25,Austin,20200517,20200521,Capital Metro,Texas,48,28.99467177429309,63,41,0.5191783347182574,2.1343557083908156,0.6813569228350573,8.025,9.35,16.9,15.225,1.325,-1.675,53,65
5e88da2b7e859234c8cba94c,-0.9103744957419754,86.70942662791073,0.017496507891232162,39.80347424288717,US,Sacramento,06067,13.570326925877879,0.2793078239418289,0.03995950943474507,-93.54518300587333,38.58,-121.49,SF Bay Area,20200517,20200521,Capitol Corridor,California,06,26.686900584382524,30,33,0.3982247902530546,2.731561652352669,0.6967953701501551,7.975,7.875,16.925,15.65,-0.1,-1.275,64,66
5e88da2b7e859234c8cba94d,-0.714004242278837,93.12636373750757,-0.011446685801073326,45.8152060790383,US,Charleston,45019,18.746495651021043,0.2706860864962156,0.03353364766852745,-58.43611362256598,32.78,-79.99,Charleston,20200517,20200521,CARTA,South Carolina,45,32.28085086502967,44,49,,,,,,,,,,53,62
5e88da2b7e859234c8cba94e,-0.8153645240065571,95.25877556593704,0.014085492976667315,34.58642221066893,US,Albany,36001,23.126929016368024,0.6393933106835176,0.051661590582795625,-36.54915186106338,42.45,-74.03,Albany,20200517,20200521,CDTA,New York,36,28.856675613518476,50,64,,,,,,,,,,61,71
5e88da2b7e859234c8cba94f,-0.8727811934328886,322.9621301300111,0.03368711888839244,40.93624149327076,US,King,53033,4.24816346084792,0.1997140129767495,0.03216540648866528,-764.5281242262804,47.3,-122.26,Seattle,20200517,20200521,City of Seattle,Washington,53,22.592202477059338,0,32,,,,,,,,,,74,78
