system_name,wfh_pop,total_pop,wfh_pop_ratio,transit_pop,total_working_pop,transit_pop_rate,google_trend_Coronavirus,pp45,all_house,vehicle0_house,vehicle0_house_rate,black_pop,hispanic_pop,total_race_pop,black_ratio,hispanic_ratio,female_pop,female_ratio,median_income,date_emergency,base_value,b,base_point,county,county_FIPS,cliff_point,decay_rate,lat,lon,metro_area,state,state_FIPS,t0,first_case_date,stretch_factor,average_procrustes_distance,pop_den,area,employment,employ_den
 Valley Metro ,1024872,2004236,0.511352954,44412,1976339,0.022471853,73,0.385118831,1520767,93549,0.061514354,232690,1311091,4253913,0.054700225,0.308208231,2149768,0.505362475,73240,25,-0.610361724,0.019158474,42.71426654,Maricopa,4013,16.57467625,0.280307503,33.45,-112.06,Phoenix,Arizona,4,29.6444714,4,,,462.4195,9199.250603,2004236,217.8694859
 AC Transit ,502525,847170,0.593180826,116644,767292,0.152020352,78,0.389353288,572870,54816,0.09568663,177135,369061,1643700,0.107766016,0.224530632,836529,0.508930462,111231,18,-0.865471351,-0.023142879,37.49100396,Alameda,6001,16.67834796,0.352051333,37.77,-122.27,SF Bay Area,California,6,27.08467596,41,3.044767154,0.642796243,2229.351,737.2999226,847170,1149.016803
 ART ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.739277931,0.01440303,38.10940758,Los Angeles,6037,18.38878004,0.371546153,33.97,-118.24,Los Angeles,California,6,28.24909381,4,2.186147797,0.546929325,2488.312,4058.19327,4869658,1199.957143
 Beach Cities Transit ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.780791227,0.036569032,39.06145563,Los Angeles,6037,17.35229665,0.337512996,33.97,-118.24,Los Angeles,California,6,28.20687614,4,2.225887934,0.59660656,2488.312,4058.19327,4869658,1199.957143
 Big Blue Bus ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.784853057,0.014972611,36.20068654,Los Angeles,6037,18.65462125,0.417593527,33.97,-118.24,Los Angeles,California,6,27.42765389,4,2.709004441,0.441320057,2488.312,4058.19327,4869658,1199.957143
 Capitol Corridor ,356357,686019,0.519456458,17800,671083,0.02652429,66,0.384224611,536029,37651,0.070240603,149064,347025,1510023,0.098716377,0.22981438,772281,0.511436581,75565,18,-0.910374496,0.017496508,39.80347424,Sacramento,6067,13.57032693,0.279307824,38.58,-121.49,SF Bay Area,California,6,26.68690058,30,2.731561652,0.69679537,1564.069,965.4450167,686019,710.5728324
 County Connection ,300402,547323,0.548856891,56845,532887,0.106673648,78,0.425364462,392277,21438,0.054650158,97333,288101,1133247,0.085888602,0.254226131,579546,0.511403075,107907,18,-0.754100834,-0.017487778,35.67329115,Contra Costa,6013,17.44288939,0.401917818,37.86,-121.64,SF Bay Area,California,6,26.55809027,42,,,1580.36,717.08171,547323,763.2644821
 Culver CityBus ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.809775187,0.011799901,36.47818394,Los Angeles,6037,18.1810221,0.400451357,33.97,-118.24,Los Angeles,California,6,27.32960302,4,2.881464757,0.473328666,2488.312,4058.19327,4869658,1199.957143
 Foothill Transit ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.733275206,0.020533497,35.47531452,Los Angeles,6037,19.10951625,0.447709496,33.97,-118.24,Los Angeles,California,6,27.29241538,4,2.31330742,0.418618701,2488.312,4058.19327,4869658,1199.957143
 Glendale Beeline ,2390559,4869658,0.490909013,294952,4749180,0.062105879,73,0.381073498,3306109,298364,0.090246268,823987,4893603,10098052,0.081598609,0.484608616,5121264,0.507153657,72362,18,-0.763134942,0.01745511,34.8897943,Los Angeles,6037,20.343678,0.50371681,33.97,-118.24,Los Angeles,California,6,27.61673615,4,,,2488.312,4058.19327,4869658,1199.957143
